seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
17,RCW300,3600,1200,0.0,300,-10000.0,41320.00000000003,40340.20000000002,979.8000000000128,0.137189576280113,297,93,0,0,10900,4.366533517837524,0.0469519733100809,0.8532110091743119,9300.0,False,300
18,RCW300,3600,1200,0.0,300,-10000.0,39733.6,36920.7,2812.9000000000005,0.4303344289693412,308,94,0,0,10877,4.297181129455566,0.0457146928665485,0.8642088811253102,9400.0,False,300
19,RCW300,3600,1200,0.0,300,-10000.0,50074.09999999998,47349.79999999999,2724.2999999999884,0.3249814021517374,359,94,0,0,10927,4.942800521850586,0.0525829842750062,0.8602544156676124,9400.0,False,300
20,RCW300,3600,1200,0.0,300,-10000.0,41867.399999999994,41051.399999999994,816.0000000000036,0.1122752194822823,331,94,0,0,10902,4.473387718200684,0.0475892310446881,0.8622271142909558,9400.0,False,300
21,RCW300,3600,1200,0.0,300,-10000.0,45262.09999999996,40199.29999999997,5062.799999999993,0.7113674796644396,333,94,0,0,10885,4.455272436141968,0.047396515278106,0.8635737253100597,9400.0,False,300
22,RCW300,3600,1200,0.0,300,-10000.0,35923.100000000006,34860.4,1062.7000000000016,0.1721868738368838,316,94,0,0,10853,4.249032497406006,0.0452024733766596,0.866119966829448,9400.0,False,300
23,RCW300,3600,1200,0.0,300,-10000.0,40954.00000000001,36621.9,4332.100000000006,0.6681582379894054,325,94,0,0,10856,4.396692514419556,0.0467733246214846,0.8658806190125277,9400.0,False,300
24,RCW300,3600,1200,0.0,300,-10000.0,37043.39999999999,34474.29999999998,2569.100000000005,0.4209274798844431,324,94,0,0,10857,4.187756299972534,0.044550598935878,0.8658008658008658,9400.0,False,300
0,RCW600,3600,1200,0.0,600,-10000.0,36447.499999999985,35136.5,1310.9999999999818,0.210749192747966,212,94,0,0,10886,4.300576448440552,0.0457508132812824,0.8634943964725336,9400.0,False,600
1,RCW600,3600,1200,0.0,600,-10000.0,40019.39999999999,36516.3,3503.0999999999913,0.5418605022781775,190,94,0,0,10902,4.40880274772644,0.0469021568907068,0.8622271142909558,9400.0,False,600
